read_id,true_state,predicted_state,motif_score,inner_flank_score,outer_flank_score
read_00079,nucleosome,nucleosome,0.0,0.16666666666666666,0.21052631578947367
read_00080,accessible,unclassified,,,
read_00081,tf_bound,unclassified,,1.0,0.6363636363636364
read_00082,tf_bound,tf_bound,0.0,0.6,0.8333333333333334
read_00083,tf_bound,tf_bound,0.0,0.6,0.8823529411764706
read_00084,accessible,unclassified,,,1.0
read_00085,accessible,accessible,1.0,1.0,0.8181818181818182
read_00086,accessible,accessible,1.0,1.0,0.95
read_00087,tf_bound,tf_bound,0.0,1.0,0.8461538461538461
read_00088,accessible,accessible,0.6666666666666666,0.8333333333333334,0.8947368421052632
read_00089,accessible,accessible,1.0,1.0,0.85
read_00090,accessible,unclassified,,1.0,1.0
read_00091,tf_bound,tf_bound,0.0,0.8333333333333334,0.95
read_00092,accessible,unclassified,,,0.8571428571428571
read_00093,nucleosome,unclassified,,,0.8
read_00094,tf_bound,unclassified,,,
read_00095,accessible,unclassified,,,0.3333333333333333
read_00096,tf_bound,unclassified,,,1.0
read_00097,accessible,accessible,1.0,0.8333333333333334,0.9285714285714286
read_00098,unclassified,accessible,1.0,1.0,1.0
read_00099,tf_bound,unclassified,,,
read_00100,nucleosome,nucleosome,0.0,0.0,0.2857142857142857
read_00101,accessible,accessible,1.0,0.8333333333333334,0.8
read_00102,tf_bound,tf_bound,0.0,1.0,1.0
read_00103,tf_bound,unclassified,,,0.875
read_00104,nucleosome,nucleosome,0.0,0.0,0.15384615384615385
read_00105,tf_bound,unclassified,,1.0,0.8181818181818182
read_00106,tf_bound,unclassified,,,0.75
read_00107,accessible,accessible,0.6666666666666666,1.0,1.0
read_00108,accessible,accessible,0.6666666666666666,0.8333333333333334,0.9230769230769231
read_00109,tf_bound,tf_bound,0.0,1.0,1.0
read_00110,accessible,accessible,1.0,0.3333333333333333,0.7272727272727273
read_00111,accessible,unclassified,,,0.8571428571428571
read_00112,nucleosome,unclassified,,,0.75
read_00113,nucleosome,unclassified,,,0.4
read_00114,accessible,accessible,1.0,1.0,1.0
read_00115,tf_bound,unclassified,,,0.875
read_00116,accessible,accessible,0.3333333333333333,0.5,0.8
read_00117,nucleosome,unclassified,,,
read_00118,accessible,accessible,1.0,0.6666666666666666,0.6
read_00119,nucleosome,unclassified,,,
read_00120,nucleosome,nucleosome,0.0,0.0,0.2
read_00121,nucleosome,unclassified,,0.0,0.4444444444444444
read_00122,accessible,accessible,0.6666666666666666,0.8333333333333334,0.8235294117647058
read_00123,nucleosome,nucleosome,0.0,0.3333333333333333,0.4
read_00124,accessible,unclassified,,,0.5
read_00125,accessible,accessible,0.6666666666666666,1.0,0.9333333333333333
read_00126,tf_bound,tf_bound,0.0,0.75,0.9230769230769231
read_00127,accessible,accessible,1.0,0.8,0.7692307692307693
read_00128,nucleosome,nucleosome,0.0,0.0,0.18181818181818182
read_00129,nucleosome,unclassified,,,0.5
read_00130,accessible,accessible,1.0,1.0,1.0
read_00131,unclassified,unclassified,,0.5,0.875
read_00132,accessible,unclassified,,,0.8571428571428571
read_00133,tf_bound,tf_bound,0.0,0.8333333333333334,0.8947368421052632
read_00134,accessible,accessible,1.0,0.8333333333333334,0.8888888888888888
read_00135,nucleosome,unclassified,,,0.75
read_00136,accessible,accessible,0.5,0.6666666666666666,0.8421052631578947
read_00137,accessible,unclassified,,,
read_00138,accessible,unclassified,,0.5,0.7
read_00139,unclassified,unclassified,,,0.7142857142857143
read_00140,nucleosome,nucleosome,0.0,0.0,0.3333333333333333
read_00141,nucleosome,nucleosome,0.0,0.0,0.4
read_00142,nucleosome,unclassified,0.3333333333333333,0.0,0.18181818181818182
read_00143,nucleosome,nucleosome,0.0,0.0,0.2222222222222222
read_00144,tf_bound,unclassified,,,1.0
read_00145,accessible,accessible,0.6666666666666666,0.8,0.6923076923076923
read_00146,nucleosome,unclassified,,0.0,0.1
read_00147,nucleosome,unclassified,,0.0,0.2727272727272727
read_00148,accessible,accessible,1.0,0.8,0.9375
read_00149,accessible,unclassified,,1.0,1.0
read_00150,nucleosome,nucleosome,0.0,0.16666666666666666,0.25
read_00151,accessible,unclassified,,,0.6666666666666666
read_00152,nucleosome,unclassified,,0.0,0.2
read_00153,accessible,unclassified,,,0.6666666666666666
read_00154,accessible,unclassified,,1.0,0.9090909090909091
read_00155,nucleosome,unclassified,0.3333333333333333,0.0,0.18181818181818182
read_00156,accessible,accessible,0.6666666666666666,1.0,1.0
read_00157,accessible,accessible,1.0,0.8333333333333334,0.75
read_00158,tf_bound,tf_bound,0.0,0.8,0.7857142857142857
read_00159,nucleosome,nucleosome,0.0,0.0,0.14285714285714285
read_00160,accessible,accessible,0.6666666666666666,0.6,0.6666666666666666
read_00161,accessible,accessible,0.3333333333333333,0.5,0.7777777777777778
read_00162,nucleosome,unclassified,,,0.25
read_00163,unclassified,unclassified,,,0.875
read_00164,tf_bound,accessible,0.3333333333333333,1.0,0.8
read_00165,accessible,unclassified,,,
read_00166,accessible,accessible,0.6666666666666666,1.0,1.0
read_00167,accessible,unclassified,,1.0,1.0
read_00168,accessible,accessible,0.6666666666666666,0.6666666666666666,0.8181818181818182
read_00169,nucleosome,nucleosome,0.0,0.0,0.2
read_00170,accessible,accessible,1.0,0.75,0.9285714285714286
read_00171,tf_bound,tf_bound,0.0,1.0,0.7777777777777778
read_00172,nucleosome,unclassified,,,0.6
read_00173,tf_bound,accessible,0.3333333333333333,1.0,0.9375
read_00174,accessible,accessible,1.0,0.5,0.8421052631578947
read_00175,nucleosome,unclassified,,,1.0
read_00176,nucleosome,nucleosome,0.0,0.3333333333333333,0.3125
read_00177,nucleosome,nucleosome,0.0,0.3333333333333333,0.36363636363636365
read_00178,accessible,unclassified,,1.0,1.0
read_00179,accessible,accessible,1.0,1.0,0.9090909090909091
read_00180,nucleosome,nucleosome,0.0,0.0,0.3333333333333333
read_00181,accessible,unclassified,,,
read_00182,accessible,unclassified,,,1.0
read_00183,tf_bound,tf_bound,0.0,1.0,1.0
read_00184,nucleosome,unclassified,,,0.4444444444444444
read_00185,unclassified,unclassified,,1.0,1.0
read_00186,accessible,unclassified,,1.0,0.8
read_00187,nucleosome,unclassified,,,0.2857142857142857
read_00188,accessible,accessible,1.0,1.0,0.8461538461538461
read_00189,tf_bound,accessible,1.0,1.0,1.0
read_00190,tf_bound,tf_bound,0.0,0.8,0.8888888888888888
read_00191,accessible,accessible,1.0,1.0,1.0
read_00192,accessible,accessible,1.0,1.0,0.9090909090909091
read_00193,accessible,accessible,0.5,1.0,0.5555555555555556
read_00194,unclassified,accessible,0.3333333333333333,0.6,0.7692307692307693
read_00195,tf_bound,accessible,0.5,0.6666666666666666,0.7272727272727273
read_00196,nucleosome,unclassified,0.0,0.0,0.4166666666666667
read_00197,nucleosome,nucleosome,0.0,0.2,0.38461538461538464
read_00198,tf_bound,tf_bound,0.0,0.6666666666666666,0.8
read_00199,nucleosome,nucleosome,0.0,0.3333333333333333,0.38095238095238093
read_00200,accessible,unclassified,,,
read_00201,accessible,unclassified,,,1.0
read_00202,nucleosome,unclassified,0.3333333333333333,0.4,0.3125
read_00203,nucleosome,unclassified,,,
read_00204,accessible,accessible,1.0,1.0,0.7272727272727273
read_00205,tf_bound,tf_bound,0.0,1.0,0.9473684210526315
read_00206,tf_bound,unclassified,,1.0,1.0
read_00207,nucleosome,nucleosome,0.0,0.2,0.23076923076923078
read_00208,tf_bound,unclassified,,,
read_00209,accessible,accessible,1.0,0.5,0.7
read_00210,accessible,unclassified,,,0.7777777777777778
read_00211,accessible,accessible,1.0,0.3333333333333333,0.6666666666666666
read_00212,nucleosome,unclassified,,,0.4
read_00213,nucleosome,unclassified,,,
read_00214,tf_bound,accessible,0.3333333333333333,1.0,0.8666666666666667
read_00215,accessible,unclassified,,,1.0
read_00216,accessible,unclassified,,,
read_00217,nucleosome,unclassified,,0.0,0.2
read_00218,nucleosome,accessible,0.3333333333333333,0.16666666666666666,0.45
read_00219,accessible,accessible,1.0,1.0,0.9444444444444444
read_00220,accessible,accessible,0.6666666666666666,1.0,1.0
read_00221,tf_bound,accessible,0.5,0.8333333333333334,0.7692307692307693
read_00222,accessible,unclassified,,,
read_00223,nucleosome,nucleosome,0.0,0.0,0.18181818181818182
read_00224,accessible,unclassified,,1.0,0.8571428571428571
read_00225,accessible,unclassified,,0.6666666666666666,0.8
read_00226,nucleosome,unclassified,0.5,0.16666666666666666,0.3333333333333333
read_00227,accessible,accessible,1.0,1.0,0.9375
read_00228,accessible,accessible,1.0,0.6666666666666666,0.6875
read_00229,accessible,unclassified,,,1.0
read_00230,accessible,accessible,1.0,1.0,0.8947368421052632
read_00231,accessible,unclassified,,,
read_00232,accessible,accessible,0.6666666666666666,1.0,0.9230769230769231
read_00233,accessible,accessible,0.6666666666666666,0.6,0.8125
read_00234,accessible,unclassified,,1.0,1.0
read_00235,tf_bound,unclassified,,,0.8888888888888888
read_00236,nucleosome,unclassified,,,
read_00237,accessible,accessible,0.6666666666666666,0.8,0.7142857142857143
read_00238,accessible,accessible,1.0,1.0,0.8095238095238095
read_00239,tf_bound,unclassified,,,
read_00240,nucleosome,unclassified,,,0.3333333333333333
read_00241,nucleosome,nucleosome,0.0,0.2,0.29411764705882354
read_00242,accessible,unclassified,,,0.8888888888888888
read_00243,accessible,accessible,0.6666666666666666,0.8333333333333334,0.9333333333333333
read_00244,accessible,unclassified,,,0.75
read_00245,accessible,accessible,1.0,1.0,0.8666666666666667
read_00246,tf_bound,unclassified,,,1.0
read_00247,accessible,accessible,0.6666666666666666,0.6666666666666666,0.8
read_00248,accessible,unclassified,,,
read_00249,accessible,accessible,1.0,0.6666666666666666,0.7
read_00250,tf_bound,unclassified,,,1.0
read_00251,accessible,unclassified,,,1.0
read_00252,nucleosome,nucleosome,0.0,0.0,0.35294117647058826
read_00253,accessible,unclassified,,,
read_00254,nucleosome,unclassified,,,0.42857142857142855
read_00255,accessible,accessible,1.0,1.0,0.8888888888888888
read_00256,nucleosome,unclassified,,,0.8
read_00257,nucleosome,unclassified,,,
read_00258,unclassified,unclassified,,,
read_00259,nucleosome,unclassified,,0.0,0.2727272727272727
read_00260,nucleosome,nucleosome,0.0,0.0,0.2857142857142857
read_00261,tf_bound,unclassified,,,
read_00262,nucleosome,unclassified,,,0.5
read_00263,accessible,accessible,1.0,0.8333333333333334,0.75
read_00264,tf_bound,tf_bound,0.0,0.8333333333333334,0.8
read_00265,tf_bound,tf_bound,0.0,1.0,0.8823529411764706
read_00266,nucleosome,unclassified,,,0.5
read_00267,tf_bound,tf_bound,0.0,0.6666666666666666,0.8
read_00268,accessible,accessible,1.0,0.8333333333333334,0.9333333333333333
read_00269,tf_bound,tf_bound,0.0,1.0,0.8666666666666667
read_00270,accessible,accessible,0.5,1.0,0.9
read_00271,accessible,unclassified,,,0.8333333333333334
read_00272,tf_bound,accessible,0.3333333333333333,0.6666666666666666,0.8666666666666667
read_00273,accessible,accessible,1.0,0.8,0.6111111111111112
read_00274,accessible,accessible,1.0,1.0,0.8
read_00275,accessible,accessible,1.0,1.0,0.6
read_00276,accessible,unclassified,,,1.0
read_00277,accessible,unclassified,,1.0,0.7
read_00278,accessible,accessible,1.0,0.75,0.7647058823529411
read_00279,nucleosome,unclassified,,,0.3333333333333333
read_00280,accessible,accessible,1.0,1.0,1.0
read_00281,nucleosome,unclassified,,0.0,0.3333333333333333
read_00282,nucleosome,unclassified,,0.0,0.375
read_00283,tf_bound,tf_bound,0.0,1.0,0.8
read_00284,accessible,unclassified,,,1.0
read_00285,tf_bound,unclassified,,,0.5
read_00286,nucleosome,unclassified,,,1.0
read_00287,nucleosome,unclassified,0.5,0.16666666666666666,0.3333333333333333
read_00288,nucleosome,unclassified,0.0,0.3333333333333333,0.45454545454545453
read_00289,tf_bound,unclassified,,1.0,0.9090909090909091
read_00290,tf_bound,tf_bound,0.0,0.8333333333333334,0.8333333333333334
read_00291,accessible,accessible,1.0,1.0,0.7
read_00292,nucleosome,unclassified,,,0.5
read_00293,accessible,accessible,1.0,1.0,0.9166666666666666
read_00294,nucleosome,nucleosome,0.0,0.0,0.3
read_00295,nucleosome,unclassified,0.3333333333333333,0.0,0.3333333333333333
read_00296,accessible,unclassified,,,1.0
read_00297,tf_bound,unclassified,,,1.0
read_00298,accessible,unclassified,,,0.8571428571428571
read_00299,nucleosome,unclassified,,,0.2222222222222222
read_00300,accessible,accessible,1.0,0.5,0.8125
read_00301,nucleosome,unclassified,0.3333333333333333,0.0,0.2
read_00302,accessible,accessible,1.0,1.0,0.9333333333333333
read_00303,unclassified,accessible,1.0,1.0,0.8
read_00304,nucleosome,unclassified,0.3333333333333333,0.0,0.1875
read_00305,tf_bound,unclassified,,1.0,0.875
read_00306,nucleosome,unclassified,,,
read_00307,nucleosome,unclassified,,,0.375
read_00308,nucleosome,nucleosome,0.0,0.0,0.3333333333333333
read_00309,accessible,accessible,1.0,1.0,1.0
read_00310,tf_bound,tf_bound,0.0,0.75,0.75
read_00311,accessible,accessible,0.6666666666666666,0.6666666666666666,0.8461538461538461
read_00312,tf_bound,tf_bound,0.0,1.0,0.8
read_00313,accessible,accessible,1.0,0.6666666666666666,0.8181818181818182
read_00314,tf_bound,unclassified,,,
read_00315,tf_bound,unclassified,,,
read_00316,tf_bound,accessible,0.5,1.0,1.0
read_00317,tf_bound,accessible,0.3333333333333333,0.8,0.8333333333333334
read_00318,nucleosome,unclassified,0.3333333333333333,0.0,0.2727272727272727
read_00319,nucleosome,nucleosome,0.0,0.0,0.07692307692307693
read_00320,tf_bound,unclassified,0.0,,1.0
read_00321,tf_bound,tf_bound,0.0,0.6666666666666666,0.6666666666666666
read_00322,nucleosome,unclassified,,,
read_00323,accessible,unclassified,,,1.0
read_00324,accessible,accessible,0.6666666666666666,0.8,0.8461538461538461
read_00325,accessible,unclassified,,,0.6666666666666666
read_00326,nucleosome,nucleosome,0.0,0.0,0.2
read_00327,accessible,unclassified,,0.5,0.7777777777777778
read_00328,nucleosome,unclassified,,,
read_00329,nucleosome,unclassified,,,1.0
read_00330,accessible,accessible,1.0,0.75,0.8
read_00331,nucleosome,unclassified,0.3333333333333333,0.0,0.3333333333333333
read_00332,nucleosome,unclassified,,0.0,0.25
read_00333,accessible,accessible,1.0,0.5,0.75
read_00334,accessible,unclassified,,0.6666666666666666,0.9
read_00335,accessible,accessible,1.0,0.8333333333333334,0.8947368421052632
read_00336,accessible,unclassified,,,0.4
read_00337,accessible,unclassified,,,
read_00338,nucleosome,unclassified,,,0.25
read_00339,accessible,unclassified,,,
read_00340,accessible,accessible,1.0,1.0,1.0
read_00341,nucleosome,nucleosome,0.0,0.16666666666666666,0.25
read_00342,tf_bound,unclassified,,0.6666666666666666,0.8
read_00343,nucleosome,unclassified,,,0.3333333333333333
read_00344,nucleosome,unclassified,,0.0,0.3333333333333333
read_00345,tf_bound,tf_bound,0.0,1.0,0.8333333333333334
read_00346,accessible,accessible,1.0,1.0,0.9411764705882353
read_00347,unclassified,accessible,1.0,0.8,0.9333333333333333
read_00348,nucleosome,nucleosome,0.0,0.2,0.25
read_00349,unclassified,accessible,1.0,0.5,0.75
read_00350,accessible,unclassified,,,1.0
read_00351,nucleosome,unclassified,0.3333333333333333,0.0,0.1
read_00352,tf_bound,tf_bound,0.0,0.8,0.8181818181818182
read_00353,accessible,accessible,1.0,0.8,0.8461538461538461
read_00354,tf_bound,unclassified,,1.0,0.9
read_00355,nucleosome,unclassified,,,
read_00356,accessible,unclassified,,,0.8
read_00357,tf_bound,tf_bound,0.0,1.0,1.0
read_00358,nucleosome,unclassified,,,
read_00359,accessible,accessible,1.0,0.8,0.8
read_00360,tf_bound,unclassified,,,0.75
read_00361,accessible,unclassified,,,1.0
read_00362,accessible,unclassified,,,1.0
read_00363,nucleosome,nucleosome,0.0,0.2,0.38461538461538464
read_00364,nucleosome,unclassified,0.3333333333333333,0.0,0.38461538461538464
read_00365,accessible,unclassified,,,
read_00366,unclassified,accessible,1.0,0.16666666666666666,0.6666666666666666
read_00367,nucleosome,nucleosome,0.0,0.2,0.17647058823529413
read_00368,accessible,unclassified,,1.0,1.0
read_00369,nucleosome,unclassified,,,
read_00370,accessible,accessible,1.0,0.5,0.8
read_00371,unclassified,unclassified,,,1.0
read_00372,nucleosome,nucleosome,0.0,0.16666666666666666,0.26666666666666666
read_00373,nucleosome,nucleosome,0.0,0.0,0.23529411764705882
read_00374,accessible,accessible,1.0,1.0,1.0
read_00375,nucleosome,nucleosome,0.0,0.0,0.19047619047619047
read_00376,accessible,unclassified,,,1.0
read_00377,accessible,accessible,1.0,1.0,0.9166666666666666
read_00378,accessible,unclassified,,1.0,0.7
read_00379,nucleosome,unclassified,0.6666666666666666,0.25,0.3333333333333333
read_00380,accessible,accessible,1.0,1.0,0.6
read_00381,nucleosome,unclassified,,,0.14285714285714285
read_00382,nucleosome,unclassified,0.3333333333333333,0.2,0.2
read_00383,accessible,unclassified,,,
read_00384,accessible,unclassified,,,0.75
read_00385,accessible,unclassified,,,0.6666666666666666
read_00386,tf_bound,tf_bound,0.0,1.0,1.0
read_00387,nucleosome,unclassified,,,0.42857142857142855
read_00388,accessible,accessible,1.0,0.5,0.5714285714285714
read_00389,nucleosome,unclassified,,,
read_00390,accessible,unclassified,,1.0,0.75
read_00391,nucleosome,nucleosome,0.0,0.0,0.3
read_00392,nucleosome,unclassified,,,0.3333333333333333
read_00393,nucleosome,nucleosome,0.0,0.3333333333333333,0.21428571428571427
read_00394,nucleosome,unclassified,,,
read_00395,nucleosome,nucleosome,0.0,0.0,0.3333333333333333
read_00396,accessible,unclassified,,,0.7777777777777778
read_00397,accessible,unclassified,,,1.0
read_00398,accessible,accessible,0.6666666666666666,0.6,0.7647058823529411
read_00399,tf_bound,unclassified,,,
read_00400,nucleosome,nucleosome,0.0,0.16666666666666666,0.3157894736842105
read_00401,tf_bound,unclassified,,,1.0
read_00402,nucleosome,unclassified,,,0.75
read_00403,accessible,accessible,1.0,1.0,0.9
read_00404,nucleosome,nucleosome,0.0,0.0,0.2
read_00405,accessible,unclassified,,,
read_00406,accessible,unclassified,,,1.0
read_00407,nucleosome,unclassified,,0.0,0.2
read_00408,unclassified,accessible,1.0,1.0,0.9444444444444444
read_00409,tf_bound,unclassified,,1.0,1.0
read_00410,accessible,unclassified,,,0.6666666666666666
read_00411,tf_bound,unclassified,,,1.0
read_00412,accessible,accessible,1.0,1.0,0.6923076923076923
read_00413,nucleosome,nucleosome,0.0,0.2,0.23529411764705882
read_00414,nucleosome,nucleosome,0.0,0.0,0.21428571428571427
read_00415,accessible,accessible,1.0,0.75,0.7272727272727273
read_00416,accessible,accessible,1.0,1.0,0.9090909090909091
read_00417,accessible,unclassified,,1.0,0.95
read_00418,unclassified,accessible,1.0,0.6,0.7647058823529411
read_00419,tf_bound,unclassified,,0.6666666666666666,0.7
read_00420,nucleosome,unclassified,,,0.42857142857142855
read_00421,tf_bound,unclassified,,1.0,0.9
read_00422,tf_bound,tf_bound,0.0,1.0,0.9333333333333333
read_00423,accessible,accessible,0.6666666666666666,0.5,0.7647058823529411
read_00424,nucleosome,unclassified,,,0.5
read_00425,accessible,accessible,1.0,1.0,0.9230769230769231
read_00426,tf_bound,tf_bound,0.0,1.0,0.875
read_00427,nucleosome,unclassified,0.5,0.0,0.3
read_00428,tf_bound,tf_bound,0.0,0.8,0.8
read_00429,nucleosome,unclassified,,0.3333333333333333,0.3
read_00430,accessible,unclassified,,,0.6666666666666666
read_00431,tf_bound,unclassified,,,0.8333333333333334
read_00432,accessible,accessible,1.0,0.8333333333333334,0.8947368421052632
read_00433,tf_bound,accessible,0.3333333333333333,0.8,0.8333333333333334
read_00434,accessible,unclassified,,,0.75
read_00435,accessible,unclassified,,0.6666666666666666,0.6
read_00436,accessible,unclassified,,,
read_00437,accessible,accessible,1.0,1.0,1.0
read_00438,accessible,unclassified,,,1.0
read_00439,tf_bound,unclassified,,,0.7142857142857143
read_00440,tf_bound,unclassified,,,1.0
read_00441,accessible,accessible,1.0,0.8,0.8461538461538461
read_00442,accessible,unclassified,,,
read_00443,accessible,accessible,1.0,1.0,1.0
read_00444,tf_bound,tf_bound,0.0,1.0,1.0
read_00445,accessible,unclassified,,,1.0
read_00446,accessible,unclassified,,,
read_00447,accessible,unclassified,,,0.8
read_00448,tf_bound,accessible,0.5,0.6,0.8461538461538461
read_00449,accessible,accessible,0.6666666666666666,0.8333333333333334,0.8
read_00450,tf_bound,accessible,0.3333333333333333,1.0,0.9411764705882353
read_00451,tf_bound,accessible,0.3333333333333333,0.8,0.8666666666666667
read_00452,nucleosome,unclassified,,,
read_00453,tf_bound,tf_bound,0.0,1.0,0.9375
read_00454,nucleosome,unclassified,,0.0,0.36363636363636365
read_00455,accessible,accessible,1.0,1.0,0.9090909090909091
read_00456,nucleosome,unclassified,,,0.2222222222222222
read_00457,tf_bound,tf_bound,0.0,0.6666666666666666,0.7894736842105263
read_00458,accessible,accessible,0.6666666666666666,1.0,0.8571428571428571
read_00459,tf_bound,tf_bound,0.0,1.0,0.8333333333333334
read_00460,accessible,accessible,1.0,1.0,0.8461538461538461
read_00461,tf_bound,tf_bound,0.0,1.0,1.0
read_00462,nucleosome,unclassified,,,0.5
read_00463,nucleosome,unclassified,,,0.375
read_00464,nucleosome,nucleosome,0.0,0.0,0.2777777777777778
read_00465,tf_bound,unclassified,,,1.0
read_00466,tf_bound,tf_bound,0.0,1.0,0.6666666666666666
read_00467,nucleosome,unclassified,0.3333333333333333,0.0,0.23076923076923078
read_00468,accessible,unclassified,,,0.8571428571428571
read_00469,nucleosome,unclassified,0.3333333333333333,0.5,0.35714285714285715
read_00470,tf_bound,unclassified,,,0.75
read_00471,accessible,unclassified,,,0.6666666666666666
read_00472,accessible,accessible,0.6666666666666666,1.0,0.9375
read_00473,nucleosome,nucleosome,0.0,0.0,0.19047619047619047
read_00474,accessible,accessible,1.0,0.8333333333333334,0.8235294117647058
read_00475,accessible,unclassified,,1.0,0.8
read_00476,accessible,unclassified,,,0.625
read_00477,accessible,unclassified,,,0.7142857142857143
read_00478,accessible,unclassified,,,
read_00479,nucleosome,nucleosome,0.0,0.0,0.29411764705882354
read_00480,accessible,accessible,1.0,0.5,0.8333333333333334
read_00481,nucleosome,unclassified,,,
read_00482,nucleosome,nucleosome,0.0,0.16666666666666666,0.23076923076923078
read_00483,accessible,accessible,0.5,1.0,0.8125
read_00484,accessible,accessible,1.0,1.0,1.0
read_00485,tf_bound,unclassified,,,0.8571428571428571
read_00486,accessible,unclassified,,,
read_00487,accessible,accessible,0.6666666666666666,0.5,0.625
read_00488,unclassified,accessible,1.0,1.0,0.9333333333333333
read_00489,unclassified,unclassified,,,
read_00490,nucleosome,unclassified,,0.0,0.2
read_00491,accessible,accessible,1.0,1.0,1.0
read_00492,nucleosome,unclassified,,,
read_00493,nucleosome,unclassified,,,1.0
read_00494,accessible,unclassified,,,1.0
read_00495,tf_bound,tf_bound,0.0,1.0,0.8333333333333334
read_00496,accessible,unclassified,,,1.0
read_00497,accessible,accessible,0.5,0.5,0.9
read_00498,tf_bound,tf_bound,0.0,0.8,0.8888888888888888
read_00499,accessible,unclassified,,,0.75
read_00500,accessible,accessible,1.0,1.0,0.8125
read_00501,nucleosome,unclassified,,0.3333333333333333,0.4
read_00502,unclassified,accessible,1.0,0.6666666666666666,0.6666666666666666
